개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2019.09.30 현재,105556352989.0,재무상태표
재무제표,비유동자산,2019.09.30 현재,13266041384.0,재무상태표
재무제표,자산총계,2019.09.30 현재,118822394373.0,재무상태표
재무제표,유동부채,2019.09.30 현재,8602918433.0,재무상태표
재무제표,비유동부채,2019.09.30 현재,1822745035.0,재무상태표
재무제표,부채총계,2019.09.30 현재,10425663468.0,재무상태표
재무제표,자본금,2019.09.30 현재,628825500.0,재무상태표
재무제표,이익잉여금,2019.09.30 현재,109932169315.0,재무상태표
재무제표,자본총계,2019.09.30 현재,108396730905.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.09.30,15302265193.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.09.30,3374536531.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.09.30,4559686067.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.09.30,3587055129.0,손익계산서
