개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.06.30 현재,90263636378.0,재무상태표
연결재무제표,비유동자산,2020.06.30 현재,149264091379.0,재무상태표
연결재무제표,자산총계,2020.06.30 현재,239527727757.0,재무상태표
연결재무제표,유동부채,2020.06.30 현재,65177388559.0,재무상태표
연결재무제표,비유동부채,2020.06.30 현재,49414508900.0,재무상태표
연결재무제표,부채총계,2020.06.30 현재,114591897459.0,재무상태표
연결재무제표,자본금,2020.06.30 현재,9999720000.0,재무상태표
연결재무제표,이익잉여금,2020.06.30 현재,67258853172.0,재무상태표
연결재무제표,자본총계,2020.06.30 현재,124935830298.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.06.30,41280949411.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.06.30,-1511531025.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,-1967524539.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.06.30,-2000385955.0,손익계산서
재무제표,유동자산,2020.06.30 현재,89847607314.0,재무상태표
재무제표,비유동자산,2020.06.30 현재,149680652956.0,재무상태표
재무제표,자산총계,2020.06.30 현재,239528260270.0,재무상태표
재무제표,유동부채,2020.06.30 현재,65023687681.0,재무상태표
재무제표,비유동부채,2020.06.30 현재,48981345705.0,재무상태표
재무제표,부채총계,2020.06.30 현재,114005033386.0,재무상태표
재무제표,자본금,2020.06.30 현재,9999720000.0,재무상태표
재무제표,이익잉여금,2020.06.30 현재,67488777284.0,재무상태표
재무제표,자본총계,2020.06.30 현재,125523226884.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.06.30,41521691803.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.06.30,-1322692408.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,-1771452448.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.06.30,-1892113810.0,손익계산서
