개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2020.03.31 현재,419308115749.0,재무상태표
재무제표,비유동자산,2020.03.31 현재,204845139142.0,재무상태표
재무제표,자산총계,2020.03.31 현재,624153254891.0,재무상태표
재무제표,유동부채,2020.03.31 현재,166363349607.0,재무상태표
재무제표,비유동부채,2020.03.31 현재,19814317422.0,재무상태표
재무제표,부채총계,2020.03.31 현재,186177667029.0,재무상태표
재무제표,자본금,2020.03.31 현재,49678843000.0,재무상태표
재무제표,이익잉여금,2020.03.31 현재,350738839743.0,재무상태표
재무제표,자본총계,2020.03.31 현재,437975587862.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.03.31,294697202494.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.03.31,9100405129.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,9508482952.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.03.31,6892348089.0,손익계산서
