개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2016.12.31 현재,34958218816.0,재무상태표
재무제표,비유동자산,2016.12.31 현재,16405318874.0,재무상태표
재무제표,자산총계,2016.12.31 현재,51363537690.0,재무상태표
재무제표,유동부채,2016.12.31 현재,16422413627.0,재무상태표
재무제표,비유동부채,2016.12.31 현재,3994990213.0,재무상태표
재무제표,부채총계,2016.12.31 현재,20417403840.0,재무상태표
재무제표,이익잉여금,2016.12.31 현재,25696597727.0,재무상태표
재무제표,자본총계,2016.12.31 현재,30946133850.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.12.31,76146752402.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.12.31,2170437522.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.12.31,2105637661.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.12.31,1753874242.0,손익계산서
