개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2021.06.30 현재,34530489232.0,재무상태표
연결재무제표,비유동자산,2021.06.30 현재,18418153138.0,재무상태표
연결재무제표,자산총계,2021.06.30 현재,52948642370.0,재무상태표
연결재무제표,유동부채,2021.06.30 현재,8338985324.0,재무상태표
연결재무제표,비유동부채,2021.06.30 현재,677382984.0,재무상태표
연결재무제표,부채총계,2021.06.30 현재,9016368308.0,재무상태표
연결재무제표,자본금,2021.06.30 현재,5000000000.0,재무상태표
연결재무제표,이익잉여금,2021.06.30 현재,36212135159.0,재무상태표
연결재무제표,자본총계,2021.06.30 현재,43932274062.0,재무상태표
연결재무제표,매출액,2021.01.01 ~ 2021.06.30,13085724241.0,손익계산서
연결재무제표,영업이익,2021.01.01 ~ 2021.06.30,526448848.0,손익계산서
연결재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.06.30,546711958.0,손익계산서
연결재무제표,당기순이익,2021.01.01 ~ 2021.06.30,456219264.0,손익계산서
재무제표,유동자산,2021.06.30 현재,34206579376.0,재무상태표
재무제표,비유동자산,2021.06.30 현재,18903407939.0,재무상태표
재무제표,자산총계,2021.06.30 현재,53109987315.0,재무상태표
재무제표,유동부채,2021.06.30 현재,8320435422.0,재무상태표
재무제표,비유동부채,2021.06.30 현재,687988395.0,재무상태표
재무제표,부채총계,2021.06.30 현재,9008423817.0,재무상태표
재무제표,자본금,2021.06.30 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2021.06.30 현재,36381424595.0,재무상태표
재무제표,자본총계,2021.06.30 현재,44101563498.0,재무상태표
재무제표,매출액,2021.01.01 ~ 2021.06.30,13074382217.0,손익계산서
재무제표,영업이익,2021.01.01 ~ 2021.06.30,560528826.0,손익계산서
재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.06.30,580726468.0,손익계산서
재무제표,당기순이익,2021.01.01 ~ 2021.06.30,479628363.0,손익계산서
