개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2016.03.31 현재,28635771957.0,재무상태표
재무제표,비유동자산,2016.03.31 현재,16507982184.0,재무상태표
재무제표,자산총계,2016.03.31 현재,45143754141.0,재무상태표
재무제표,유동부채,2016.03.31 현재,15588648293.0,재무상태표
재무제표,비유동부채,2016.03.31 현재,230417043.0,재무상태표
재무제표,부채총계,2016.03.31 현재,15819065336.0,재무상태표
재무제표,이익잉여금,2016.03.31 현재,24075152682.0,재무상태표
재무제표,자본총계,2016.03.31 현재,29324688805.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.03.31,19645053875.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.03.31,176013816.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.03.31,164054980.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.03.31,132429197.0,손익계산서
