개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2019.06.30 현재,17568911328.0,재무상태표
재무제표,비유동자산,2019.06.30 현재,33976926882.0,재무상태표
재무제표,자산총계,2019.06.30 현재,51545838210.0,재무상태표
재무제표,유동부채,2019.06.30 현재,11793651289.0,재무상태표
재무제표,비유동부채,2019.06.30 현재,1936710841.0,재무상태표
재무제표,부채총계,2019.06.30 현재,13730362130.0,재무상태표
재무제표,자본금,2019.06.30 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2019.06.30 현재,32565939957.0,재무상태표
재무제표,자본총계,2019.06.30 현재,37815476080.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.06.30,13134651802.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.06.30,-927262576.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.06.30,6478183435.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.06.30,4862140461.0,손익계산서
