개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2017.06.30 현재,29623307973.0,재무상태표
재무제표,비유동자산,2017.06.30 현재,16055345218.0,재무상태표
재무제표,자산총계,2017.06.30 현재,45678653191.0,재무상태표
재무제표,유동부채,2017.06.30 현재,10880901041.0,재무상태표
재무제표,비유동부채,2017.06.30 현재,3900785011.0,재무상태표
재무제표,부채총계,2017.06.30 현재,14781686052.0,재무상태표
재무제표,이익잉여금,2017.06.30 현재,25647431016.0,재무상태표
재무제표,자본총계,2017.06.30 현재,30896967139.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.06.30,15698908580.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.06.30,210852891.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.06.30,222800394.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.06.30,-115967073.0,손익계산서
