개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2016.09.30 현재,31698690662.0,재무상태표
재무제표,비유동자산,2016.09.30 현재,16252227759.0,재무상태표
재무제표,자산총계,2016.09.30 현재,47950918421.0,재무상태표
재무제표,유동부채,2016.09.30 현재,13517375343.0,재무상태표
재무제표,비유동부채,2016.09.30 현재,3989167517.0,재무상태표
재무제표,부채총계,2016.09.30 현재,17506542860.0,재무상태표
재무제표,이익잉여금,2016.09.30 현재,25194839438.0,재무상태표
재무제표,자본총계,2016.09.30 현재,30444375561.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.09.30,20230947071.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.09.30,706475497.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.09.30,630480642.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.09.30,519774266.0,손익계산서
