개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2019.12.31 현재,35023363667.0,재무상태표
재무제표,비유동자산,2019.12.31 현재,17422286907.0,재무상태표
재무제표,자산총계,2019.12.31 현재,52445650574.0,재무상태표
재무제표,유동부채,2019.12.31 현재,12163100095.0,재무상태표
재무제표,비유동부채,2019.12.31 현재,2004065180.0,재무상태표
재무제표,부채총계,2019.12.31 현재,14167165275.0,재무상태표
재무제표,자본금,2019.12.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2019.12.31 현재,33028949176.0,재무상태표
재무제표,자본총계,2019.12.31 현재,38278485299.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.12.31,54592806441.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.12.31,-1344581315.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,6287941289.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.12.31,5421554062.0,손익계산서
