개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2018.03.31 현재,29063868752.0,재무상태표
재무제표,비유동자산,2018.03.31 현재,18574294634.0,재무상태표
재무제표,자산총계,2018.03.31 현재,47638163386.0,재무상태표
재무제표,유동부채,2018.03.31 현재,8204955591.0,재무상태표
재무제표,비유동부채,2018.03.31 현재,7155741820.0,재무상태표
재무제표,부채총계,2018.03.31 현재,15360697411.0,재무상태표
재무제표,자본금,2018.03.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2018.03.31 현재,27027929852.0,재무상태표
재무제표,자본총계,2018.03.31 현재,32277465975.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.03.31,17131860231.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.03.31,363587953.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.03.31,404320619.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.03.31,366266700.0,손익계산서
