개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2018.09.30 현재,28817050385.0,재무상태표
재무제표,비유동자산,2018.09.30 현재,19282218905.0,재무상태표
재무제표,자산총계,2018.09.30 현재,48099269290.0,재무상태표
재무제표,유동부채,2018.09.30 현재,11216607556.0,재무상태표
재무제표,비유동부채,2018.09.30 현재,4396038274.0,재무상태표
재무제표,부채총계,2018.09.30 현재,15612645830.0,재무상태표
재무제표,자본금,2018.09.30 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2018.09.30 현재,27237087337.0,재무상태표
재무제표,자본총계,2018.09.30 현재,32486623460.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.09.30,14604017063.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.09.30,245304240.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.09.30,290796558.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.09.30,137733681.0,손익계산서
