개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2018.12.31 현재,28403525552.0,재무상태표
재무제표,비유동자산,2018.12.31 현재,20122756827.0,재무상태표
재무제표,자산총계,2018.12.31 현재,48526282379.0,재무상태표
재무제표,유동부채,2018.12.31 현재,15191274264.0,재무상태표
재무제표,비유동부채,2018.12.31 현재,226791219.0,재무상태표
재무제표,부채총계,2018.12.31 현재,15418065483.0,재무상태표
재무제표,자본금,2018.12.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2018.12.31 현재,27858680773.0,재무상태표
재무제표,자본총계,2018.12.31 현재,33108216896.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.12.31,61842455200.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.12.31,888293015.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.12.31,1247657943.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.12.31,1197017621.0,손익계산서
