개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2017.12.31 현재,29774696301.0,재무상태표
재무제표,비유동자산,2017.12.31 현재,18853741251.0,재무상태표
재무제표,자산총계,2017.12.31 현재,48628437552.0,재무상태표
재무제표,유동부채,2017.12.31 현재,9319162427.0,재무상태표
재무제표,비유동부채,2017.12.31 현재,7163108850.0,재무상태표
재무제표,부채총계,2017.12.31 현재,16482271277.0,재무상태표
재무제표,자본금,2017.12.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2017.12.31 현재,26896630152.0,재무상태표
재무제표,자본총계,2017.12.31 현재,32146166275.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.12.31,67111332558.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.12.31,1563901289.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,2094715405.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.12.31,1434999425.0,손익계산서
