개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2018.03.31 현재,123207032096.0,재무상태표
연결재무제표,비유동자산,2018.03.31 현재,244770727293.0,재무상태표
연결재무제표,자산총계,2018.03.31 현재,367977759389.0,재무상태표
연결재무제표,유동부채,2018.03.31 현재,237775717682.0,재무상태표
연결재무제표,비유동부채,2018.03.31 현재,3737478836.0,재무상태표
연결재무제표,부채총계,2018.03.31 현재,241513196518.0,재무상태표
연결재무제표,자본금,2018.03.31 현재,6756750000.0,재무상태표
연결재무제표,이익잉여금,2018.03.31 현재,117012098134.0,재무상태표
연결재무제표,자본총계,2018.03.31 현재,126464562871.0,재무상태표
연결재무제표,매출액,2018.01.01 ~ 2018.03.31,53460436986.0,손익계산서
연결재무제표,영업이익,2018.01.01 ~ 2018.03.31,-2249649794.0,손익계산서
연결재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.03.31,-1737966471.0,손익계산서
연결재무제표,당기순이익,2018.01.01 ~ 2018.03.31,-2197967505.0,손익계산서
재무제표,유동자산,2018.03.31 현재,68818634766.0,재무상태표
재무제표,비유동자산,2018.03.31 현재,143248096074.0,재무상태표
재무제표,자산총계,2018.03.31 현재,212066730840.0,재무상태표
재무제표,유동부채,2018.03.31 현재,81316120821.0,재무상태표
재무제표,비유동부채,2018.03.31 현재,0.0,재무상태표
재무제표,부채총계,2018.03.31 현재,81316120821.0,재무상태표
재무제표,자본금,2018.03.31 현재,6756750000.0,재무상태표
재무제표,이익잉여금,2018.03.31 현재,120989800757.0,재무상태표
재무제표,자본총계,2018.03.31 현재,130750610019.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.03.31,27215198189.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.03.31,30766377.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.03.31,999950953.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.03.31,747254616.0,손익계산서
