개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2017.12.31 현재,37390178460.0,재무상태표
연결재무제표,비유동자산,2017.12.31 현재,10138649313.0,재무상태표
연결재무제표,자산총계,2017.12.31 현재,47528827773.0,재무상태표
연결재무제표,유동부채,2017.12.31 현재,3420993316.0,재무상태표
연결재무제표,비유동부채,2017.12.31 현재,796943604.0,재무상태표
연결재무제표,부채총계,2017.12.31 현재,4217936920.0,재무상태표
연결재무제표,자본금,2017.12.31 현재,3000000000.0,재무상태표
연결재무제표,이익잉여금,2017.12.31 현재,28107575400.0,재무상태표
연결재무제표,자본총계,2017.12.31 현재,43310890853.0,재무상태표
연결재무제표,매출액,2017.01.01 ~ 2017.12.31,28663902128.0,손익계산서
연결재무제표,영업이익,2017.01.01 ~ 2017.12.31,1328981572.0,손익계산서
연결재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,1336965624.0,손익계산서
연결재무제표,당기순이익,2017.01.01 ~ 2017.12.31,1138315188.0,손익계산서
재무제표,유동자산,2017.12.31 현재,37005582544.0,재무상태표
재무제표,비유동자산,2017.12.31 현재,10364685411.0,재무상태표
재무제표,자산총계,2017.12.31 현재,47370267955.0,재무상태표
재무제표,유동부채,2017.12.31 현재,3467703576.0,재무상태표
재무제표,비유동부채,2017.12.31 현재,936730307.0,재무상태표
재무제표,부채총계,2017.12.31 현재,4404433883.0,재무상태표
재무제표,자본금,2017.12.31 현재,3000000000.0,재무상태표
재무제표,이익잉여금,2017.12.31 현재,28375285784.0,재무상태표
재무제표,자본총계,2017.12.31 현재,42965834072.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.12.31,28478908391.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.12.31,1367150804.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,1456375562.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.12.31,1270569087.0,손익계산서
