개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2016.12.31 현재,73786942955.0,재무상태표
재무제표,비유동자산,2016.12.31 현재,78833449393.0,재무상태표
재무제표,자산총계,2016.12.31 현재,152620392348.0,재무상태표
재무제표,유동부채,2016.12.31 현재,36648828463.0,재무상태표
재무제표,비유동부채,2016.12.31 현재,57260457823.0,재무상태표
재무제표,부채총계,2016.12.31 현재,93909286286.0,재무상태표
재무제표,이익잉여금,2016.12.31 현재,22577049458.0,재무상태표
재무제표,자본총계,2016.12.31 현재,58711106062.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.12.31,194532815914.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.12.31,14198518293.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.12.31,15036609322.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.12.31,16137522386.0,손익계산서
