개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2018.06.30 현재,141031212810.0,재무상태표
연결재무제표,비유동자산,2018.06.30 현재,44200422576.0,재무상태표
연결재무제표,자산총계,2018.06.30 현재,185231635386.0,재무상태표
연결재무제표,유동부채,2018.06.30 현재,16877184687.0,재무상태표
연결재무제표,비유동부채,2018.06.30 현재,28004855780.0,재무상태표
연결재무제표,부채총계,2018.06.30 현재,44882040467.0,재무상태표
연결재무제표,자본금,2018.06.30 현재,6808958500.0,재무상태표
연결재무제표,이익잉여금,2018.06.30 현재,138760281144.0,재무상태표
연결재무제표,자본총계,2018.06.30 현재,140349594919.0,재무상태표
연결재무제표,매출액,2018.01.01 ~ 2018.06.30,33611331575.0,손익계산서
연결재무제표,영업이익,2018.01.01 ~ 2018.06.30,3227412759.0,손익계산서
연결재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,3556560527.0,손익계산서
연결재무제표,당기순이익,2018.01.01 ~ 2018.06.30,2735756955.0,손익계산서
재무제표,유동자산,2018.06.30 현재,139598273752.0,재무상태표
재무제표,비유동자산,2018.06.30 현재,44746188199.0,재무상태표
재무제표,자산총계,2018.06.30 현재,184344461951.0,재무상태표
재무제표,유동부채,2018.06.30 현재,16844260597.0,재무상태표
재무제표,비유동부채,2018.06.30 현재,28027955780.0,재무상태표
재무제표,부채총계,2018.06.30 현재,44872216377.0,재무상태표
재무제표,자본금,2018.06.30 현재,6808958500.0,재무상태표
재무제표,이익잉여금,2018.06.30 현재,138387886764.0,재무상태표
재무제표,자본총계,2018.06.30 현재,139472245574.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.06.30,33343608935.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.06.30,3133033258.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,3461243050.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.06.30,2650230788.0,손익계산서
