개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2019.12.31 현재,17352776869000.0,재무상태표
연결재무제표,비유동자산,2019.12.31 현재,22173279738000.0,재무상태표
연결재무제표,자산총계,2019.12.31 현재,39526056607000.0,재무상태표
연결재무제표,유동부채,2019.12.31 현재,10456380735000.0,재무상태표
연결재무제표,비유동부채,2019.12.31 현재,10860052110000.0,재무상태표
연결재무제표,부채총계,2019.12.31 현재,21316432845000.0,재무상태표
연결재무제표,자본금,2019.12.31 현재,468569950000.0,재무상태표
연결재무제표,이익잉여금,2019.12.31 현재,12175219414000.0,재무상태표
연결재무제표,자본총계,2019.12.31 현재,18209623762000.0,재무상태표
연결재무제표,매출액,2019.01.01 ~ 2019.12.31,49876534172000.0,손익계산서
연결재무제표,영업이익,2019.01.01 ~ 2019.12.31,1269292250000.0,손익계산서
연결재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,376458870000.0,손익계산서
연결재무제표,당기순이익,2019.01.01 ~ 2019.12.31,65774590000.0,손익계산서
재무제표,유동자산,2019.12.31 현재,1360416534000.0,재무상태표
재무제표,비유동자산,2019.12.31 현재,14995470239000.0,재무상태표
재무제표,자산총계,2019.12.31 현재,16355886773000.0,재무상태표
재무제표,유동부채,2019.12.31 현재,817468460000.0,재무상태표
재무제표,비유동부채,2019.12.31 현재,2461737949000.0,재무상태표
재무제표,부채총계,2019.12.31 현재,3279206409000.0,재무상태표
재무제표,자본금,2019.12.31 현재,468569950000.0,재무상태표
재무제표,이익잉여금,2019.12.31 현재,7882034374000.0,재무상태표
재무제표,자본총계,2019.12.31 현재,13076680364000.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.12.31,3006128697000.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.12.31,1292755280000.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,895048419000.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.12.31,792139635000.0,손익계산서
