개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2016.06.30 현재,57447264268.0,재무상태표
연결재무제표,비유동자산,2016.06.30 현재,171875084079.0,재무상태표
연결재무제표,자산총계,2016.06.30 현재,229322348347.0,재무상태표
연결재무제표,유동부채,2016.06.30 현재,34268180672.0,재무상태표
연결재무제표,비유동부채,2016.06.30 현재,38778722379.0,재무상태표
연결재무제표,부채총계,2016.06.30 현재,73046903051.0,재무상태표
연결재무제표,자본금,2016.06.30 현재,5914429000.0,재무상태표
연결재무제표,이익잉여금,2016.06.30 현재,73011440340.0,재무상태표
연결재무제표,자본총계,2016.06.30 현재,156275445296.0,재무상태표
연결재무제표,매출액,2016.01.01 ~ 2016.06.30,68100092679.0,손익계산서
연결재무제표,영업이익,2016.01.01 ~ 2016.06.30,-1445009926.0,손익계산서
연결재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.06.30,-1135731147.0,손익계산서
연결재무제표,당기순이익,2016.01.01 ~ 2016.06.30,-679319572.0,손익계산서
재무제표,유동자산,2016.06.30 현재,17937313174.0,재무상태표
재무제표,비유동자산,2016.06.30 현재,154781519818.0,재무상태표
재무제표,자산총계,2016.06.30 현재,172718832992.0,재무상태표
재무제표,유동부채,2016.06.30 현재,353167320.0,재무상태표
재무제표,비유동부채,2016.06.30 현재,25486296625.0,재무상태표
재무제표,부채총계,2016.06.30 현재,25839463945.0,재무상태표
재무제표,자본금,2016.06.30 현재,5914429000.0,재무상태표
재무제표,이익잉여금,2016.06.30 현재,72958282654.0,재무상태표
재무제표,자본총계,2016.06.30 현재,146879369047.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.06.30,675000000.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.06.30,47422088.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.06.30,45335725.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.06.30,-7645633.0,손익계산서
