개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.06.30 현재,157764854444.0,재무상태표
연결재무제표,비유동자산,2020.06.30 현재,184625234880.0,재무상태표
연결재무제표,자산총계,2020.06.30 현재,342390089324.0,재무상태표
연결재무제표,유동부채,2020.06.30 현재,197740145892.0,재무상태표
연결재무제표,비유동부채,2020.06.30 현재,46253994344.0,재무상태표
연결재무제표,부채총계,2020.06.30 현재,243994140236.0,재무상태표
연결재무제표,자본금,2020.06.30 현재,7286147500.0,재무상태표
연결재무제표,이익잉여금,2020.06.30 현재,37404675653.0,재무상태표
연결재무제표,자본총계,2020.06.30 현재,98395949089.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.06.30,107778086057.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.06.30,2439986445.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,1392590010.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.06.30,702677453.0,손익계산서
재무제표,유동자산,2020.06.30 현재,115926826504.0,재무상태표
재무제표,비유동자산,2020.06.30 현재,124942936235.0,재무상태표
재무제표,자산총계,2020.06.30 현재,240869762739.0,재무상태표
재무제표,유동부채,2020.06.30 현재,118015216022.0,재무상태표
재무제표,비유동부채,2020.06.30 현재,36893354243.0,재무상태표
재무제표,부채총계,2020.06.30 현재,154908570265.0,재무상태표
재무제표,자본금,2020.06.30 현재,7286147500.0,재무상태표
재무제표,이익잉여금,2020.06.30 현재,28721331783.0,재무상태표
재무제표,자본총계,2020.06.30 현재,85961192474.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.06.30,68172518751.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.06.30,2508891049.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,1785629262.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.06.30,1233229068.0,손익계산서
