개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2017.12.31 현재,59304344774.0,재무상태표
연결재무제표,비유동자산,2017.12.31 현재,48862012472.0,재무상태표
연결재무제표,자산총계,2017.12.31 현재,108166357246.0,재무상태표
연결재무제표,유동부채,2017.12.31 현재,22105408570.0,재무상태표
연결재무제표,비유동부채,2017.12.31 현재,15722637627.0,재무상태표
연결재무제표,부채총계,2017.12.31 현재,37828046197.0,재무상태표
연결재무제표,자본금,2017.12.31 현재,23301287000.0,재무상태표
연결재무제표,이익잉여금,2017.12.31 현재,28118150839.0,재무상태표
연결재무제표,자본총계,2017.12.31 현재,70338311049.0,재무상태표
연결재무제표,매출액,2017.01.01 ~ 2017.12.31,52593956500.0,손익계산서
연결재무제표,영업이익,2017.01.01 ~ 2017.12.31,2873619904.0,손익계산서
연결재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,-2957152572.0,손익계산서
연결재무제표,당기순이익,2017.01.01 ~ 2017.12.31,-3138893965.0,손익계산서
재무제표,유동자산,2017.12.31 현재,53427578140.0,재무상태표
재무제표,비유동자산,2017.12.31 현재,49277492032.0,재무상태표
재무제표,자산총계,2017.12.31 현재,102705070172.0,재무상태표
재무제표,유동부채,2017.12.31 현재,19157128164.0,재무상태표
재무제표,비유동부채,2017.12.31 현재,15038062385.0,재무상태표
재무제표,부채총계,2017.12.31 현재,34195190549.0,재무상태표
재무제표,자본금,2017.12.31 현재,23301287000.0,재무상태표
재무제표,이익잉여금,2017.12.31 현재,26774927819.0,재무상태표
재무제표,자본총계,2017.12.31 현재,68509879623.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.12.31,45622778801.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.12.31,6589065703.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,-3314762598.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.12.31,-3921072576.0,손익계산서
