개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2021.09.30 현재,50654818322.0,재무상태표
연결재무제표,비유동자산,2021.09.30 현재,13429419635.0,재무상태표
연결재무제표,자산총계,2021.09.30 현재,64084237957.0,재무상태표
연결재무제표,유동부채,2021.09.30 현재,15514413205.0,재무상태표
연결재무제표,비유동부채,2021.09.30 현재,5487556854.0,재무상태표
연결재무제표,부채총계,2021.09.30 현재,21001970059.0,재무상태표
연결재무제표,자본금,2021.09.30 현재,10922417800.0,재무상태표
연결재무제표,이익잉여금,2021.09.30 현재,-16379836464.0,재무상태표
연결재무제표,자본총계,2021.09.30 현재,43082267898.0,재무상태표
연결재무제표,매출액,2021.01.01 ~ 2021.09.30,18081263279.0,손익계산서
연결재무제표,영업이익,2021.01.01 ~ 2021.09.30,-230356381.0,손익계산서
연결재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.09.30,-587546645.0,손익계산서
연결재무제표,당기순이익,2021.01.01 ~ 2021.09.30,-578377461.0,손익계산서
재무제표,유동자산,2021.09.30 현재,49761941799.0,재무상태표
재무제표,비유동자산,2021.09.30 현재,12996723822.0,재무상태표
재무제표,자산총계,2021.09.30 현재,62758665621.0,재무상태표
재무제표,유동부채,2021.09.30 현재,15434900337.0,재무상태표
재무제표,비유동부채,2021.09.30 현재,5475427100.0,재무상태표
재무제표,부채총계,2021.09.30 현재,20910327437.0,재무상태표
재무제표,자본금,2021.09.30 현재,10922417800.0,재무상태표
재무제표,이익잉여금,2021.09.30 현재,-16855028570.0,재무상태표
재무제표,자본총계,2021.09.30 현재,41848338184.0,재무상태표
재무제표,매출액,2021.01.01 ~ 2021.09.30,18081263279.0,손익계산서
재무제표,영업이익,2021.01.01 ~ 2021.09.30,-212287766.0,손익계산서
재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.09.30,-551986511.0,손익계산서
재무제표,당기순이익,2021.01.01 ~ 2021.09.30,-551986511.0,손익계산서
