개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2019.12.31 현재,98305920296.0,재무상태표
연결재무제표,비유동자산,2019.12.31 현재,87441247010.0,재무상태표
연결재무제표,자산총계,2019.12.31 현재,185747167306.0,재무상태표
연결재무제표,유동부채,2019.12.31 현재,97067082432.0,재무상태표
연결재무제표,비유동부채,2019.12.31 현재,18099090123.0,재무상태표
연결재무제표,부채총계,2019.12.31 현재,115166172555.0,재무상태표
연결재무제표,자본금,2019.12.31 현재,6490073000.0,재무상태표
연결재무제표,이익잉여금,2019.12.31 현재,21146384462.0,재무상태표
연결재무제표,자본총계,2019.12.31 현재,70580994751.0,재무상태표
연결재무제표,매출액,2019.01.01 ~ 2019.12.31,256338425431.0,손익계산서
연결재무제표,영업이익,2019.01.01 ~ 2019.12.31,6175792637.0,손익계산서
연결재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,-3472247794.0,손익계산서
연결재무제표,당기순이익,2019.01.01 ~ 2019.12.31,-3403117680.0,손익계산서
재무제표,유동자산,2019.12.31 현재,28026203139.0,재무상태표
재무제표,비유동자산,2019.12.31 현재,66408032748.0,재무상태표
재무제표,자산총계,2019.12.31 현재,94434235887.0,재무상태표
재무제표,유동부채,2019.12.31 현재,17958495777.0,재무상태표
재무제표,비유동부채,2019.12.31 현재,12666259844.0,재무상태표
재무제표,부채총계,2019.12.31 현재,30624755621.0,재무상태표
재무제표,자본금,2019.12.31 현재,6490073000.0,재무상태표
재무제표,이익잉여금,2019.12.31 현재,18926678492.0,재무상태표
재무제표,자본총계,2019.12.31 현재,63809480266.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.12.31,56020710345.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.12.31,2701683027.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,-3838178219.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.12.31,-4846741233.0,손익계산서
