Date,Open,High,Low,Close,Volume,Change
1997-11-12,47092,47858,45943,47091,5470,
1997-11-13,47858,48623,47092,48623,10240,0.03253275572827086
1997-11-14,48623,48623,47475,48623,6040,0.0
1997-11-15,48623,49389,46709,46708,11590,-0.039384653353351284
1997-11-17,48240,48240,44029,44028,8180,-0.05737775113470922
1997-11-18,42115,47475,42115,45177,6160,0.026097029163259844
1997-11-19,45178,46709,42880,46708,8100,0.0338889257808177
1997-11-20,46709,46709,43263,45177,12790,-0.03277811081613424
1997-11-21,45178,47475,44412,47474,21030,0.05084445624986156
1997-11-22,48240,48240,44412,44411,5410,-0.06451952647765091
1997-11-24,40966,42115,40966,40966,10620,-0.07757087208124114
1997-11-25,38669,43646,37941,43646,47040,0.06542010447688318
1997-11-26,41732,45178,40583,44794,23820,0.026302524859093568
1997-11-27,44029,45178,42115,44028,14260,-0.017100504531856964
1997-11-28,43263,47092,40583,41348,26830,-0.060870355228490935
1997-11-29,40583,41732,38669,41731,4940,0.0092628422172778
1997-12-01,40583,44029,40583,42880,17430,0.02753348829407387
1997-12-02,40583,42115,39817,39817,5330,-0.07143190298507462
1997-12-03,36755,36755,36755,36754,1020,-0.07692694075394935
1997-12-04,33883,39435,33883,39434,44690,0.07291723349839474
1997-12-05,42497,42497,42497,42497,22980,0.07767408835015477
1997-12-06,44795,44795,39435,42880,22290,0.00901240087535582
1997-12-08,44029,44029,40200,40200,21670,-0.0625
1997-12-09,38286,38286,37137,37137,8690,-0.0761940298507463
1997-12-10,34840,36372,34189,34189,23660,-0.07938174866036563
1997-12-11,31777,32543,31471,31471,18220,-0.0794992541460704
1997-12-12,28983,30705,28983,30705,127720,-0.024339868450319324
1997-12-13,28255,30208,28255,28255,25950,-0.07979156489171146
1997-12-15,26800,30514,26800,30513,13830,0.07991505928154319
1997-12-16,32926,32926,31012,32925,23920,0.0790482745059482
1997-12-17,32543,35529,31777,34457,98840,0.04652999240698552
1997-12-19,31701,34075,31701,31700,45640,-0.08001276953884551
1997-12-20,29480,31395,29174,30628,6660,-0.033817034700315496
1997-12-22,29480,31012,29480,30245,18820,-0.012504897479430621
1997-12-23,29097,29097,27834,27833,7480,-0.07974871879649525
1997-12-24,25613,25652,25613,25613,17870,-0.07976143426867388
1997-12-26,27643,27643,27375,27642,219380,0.07921758482020858
1997-12-27,25460,26035,25460,25460,22020,-0.07893784820201144
1998-01-03,23423,27497,23423,27089,25860,0.06398271798900246
1998-01-05,27293,28923,27090,27293,78860,0.007530732031451937
1998-01-06,27904,29452,26519,27293,115640,0.0
1998-01-07,28923,29452,28515,29452,202440,0.07910453229765868
1998-01-08,29738,30145,27293,29330,111630,-0.004142333288061906
1998-01-09,28515,28923,27293,27293,75400,-0.06945107398568018
1998-01-10,29452,29452,28515,29452,36690,0.07910453229765868
1998-01-12,30960,31774,30552,31774,280200,0.07884014667934269
1998-01-13,31774,34300,30960,34299,339340,0.07946748914206592
1998-01-14,37029,37029,34993,37029,458420,0.07959415726406016
