개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2021.06.30 현재,73703612453.0,재무상태표
연결재무제표,비유동자산,2021.06.30 현재,82717746011.0,재무상태표
연결재무제표,자산총계,2021.06.30 현재,156421358464.0,재무상태표
연결재무제표,유동부채,2021.06.30 현재,43087788673.0,재무상태표
연결재무제표,비유동부채,2021.06.30 현재,24670033178.0,재무상태표
연결재무제표,부채총계,2021.06.30 현재,67757821851.0,재무상태표
연결재무제표,자본금,2021.06.30 현재,5356812500.0,재무상태표
연결재무제표,이익잉여금,2021.06.30 현재,73819265694.0,재무상태표
연결재무제표,자본총계,2021.06.30 현재,88663536613.0,재무상태표
연결재무제표,매출액,2021.01.01 ~ 2021.06.30,22320789885.0,손익계산서
연결재무제표,영업이익,2021.01.01 ~ 2021.06.30,976646855.0,손익계산서
연결재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.06.30,741345455.0,손익계산서
연결재무제표,당기순이익,2021.01.01 ~ 2021.06.30,-663986328.0,손익계산서
재무제표,유동자산,2021.06.30 현재,58718524092.0,재무상태표
재무제표,비유동자산,2021.06.30 현재,90603230532.0,재무상태표
재무제표,자산총계,2021.06.30 현재,149321754624.0,재무상태표
재무제표,유동부채,2021.06.30 현재,33507292724.0,재무상태표
재무제표,비유동부채,2021.06.30 현재,24651172279.0,재무상태표
재무제표,부채총계,2021.06.30 현재,58158465003.0,재무상태표
재무제표,자본금,2021.06.30 현재,5356812500.0,재무상태표
재무제표,이익잉여금,2021.06.30 현재,74889223464.0,재무상태표
재무제표,자본총계,2021.06.30 현재,91163289621.0,재무상태표
재무제표,매출액,2021.01.01 ~ 2021.06.30,22346896351.0,손익계산서
재무제표,영업이익,2021.01.01 ~ 2021.06.30,1504715023.0,손익계산서
재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.06.30,1317723107.0,손익계산서
재무제표,당기순이익,2021.01.01 ~ 2021.06.30,-87608676.0,손익계산서
