개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2019.12.31 현재,573283917872.0,재무상태표
연결재무제표,비유동자산,2019.12.31 현재,318618966975.0,재무상태표
연결재무제표,자산총계,2019.12.31 현재,891902884847.0,재무상태표
연결재무제표,유동부채,2019.12.31 현재,361696242893.0,재무상태표
연결재무제표,비유동부채,2019.12.31 현재,109608617221.0,재무상태표
연결재무제표,부채총계,2019.12.31 현재,471304860114.0,재무상태표
연결재무제표,자본금,2019.12.31 현재,110250660000.0,재무상태표
연결재무제표,이익잉여금,2019.12.31 현재,218025230052.0,재무상태표
연결재무제표,자본총계,2019.12.31 현재,420598024733.0,재무상태표
연결재무제표,매출액,2019.01.01 ~ 2019.12.31,1155368352146.0,손익계산서
연결재무제표,영업이익,2019.01.01 ~ 2019.12.31,55472119336.0,손익계산서
연결재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,72873943468.0,손익계산서
연결재무제표,당기순이익,2019.01.01 ~ 2019.12.31,59804629683.0,손익계산서
재무제표,유동자산,2019.12.31 현재,470060310629.0,재무상태표
재무제표,비유동자산,2019.12.31 현재,326190880203.0,재무상태표
재무제표,자산총계,2019.12.31 현재,796251190832.0,재무상태표
재무제표,유동부채,2019.12.31 현재,286891119730.0,재무상태표
재무제표,비유동부채,2019.12.31 현재,82502399578.0,재무상태표
재무제표,부채총계,2019.12.31 현재,369393519308.0,재무상태표
재무제표,자본금,2019.12.31 현재,110250660000.0,재무상태표
재무제표,이익잉여금,2019.12.31 현재,217777202997.0,재무상태표
재무제표,자본총계,2019.12.31 현재,426857671524.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.12.31,1097927762848.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.12.31,56512439415.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.12.31,75565040468.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.12.31,62885537117.0,손익계산서
