개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2016.12.31 현재,65679404196.0,재무상태표
연결재무제표,비유동자산,2016.12.31 현재,36158934414.0,재무상태표
연결재무제표,자산총계,2016.12.31 현재,101838338610.0,재무상태표
연결재무제표,유동부채,2016.12.31 현재,31806794238.0,재무상태표
연결재무제표,비유동부채,2016.12.31 현재,8716172157.0,재무상태표
연결재무제표,부채총계,2016.12.31 현재,40522966395.0,재무상태표
연결재무제표,자본금,2016.12.31 현재,9099711000.0,재무상태표
연결재무제표,이익잉여금,2016.12.31 현재,9526330927.0,재무상태표
연결재무제표,자본총계,2016.12.31 현재,61315372215.0,재무상태표
연결재무제표,매출액,2016.01.01 ~ 2016.12.31,83065519087.0,손익계산서
연결재무제표,영업이익,2016.01.01 ~ 2016.12.31,8051950464.0,손익계산서
연결재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.12.31,7440473201.0,손익계산서
연결재무제표,당기순이익,2016.01.01 ~ 2016.12.31,6789923175.0,손익계산서
재무제표,유동자산,2016.12.31 현재,59839008849.0,재무상태표
재무제표,비유동자산,2016.12.31 현재,37907420650.0,재무상태표
재무제표,자산총계,2016.12.31 현재,97746429499.0,재무상태표
재무제표,유동부채,2016.12.31 현재,27581767244.0,재무상태표
재무제표,비유동부채,2016.12.31 현재,8716172157.0,재무상태표
재무제표,부채총계,2016.12.31 현재,36297939401.0,재무상태표
재무제표,자본금,2016.12.31 현재,9099711000.0,재무상태표
재무제표,이익잉여금,2016.12.31 현재,10616949308.0,재무상태표
재무제표,자본총계,2016.12.31 현재,61448490098.0,재무상태표
재무제표,매출액,2016.01.01 ~ 2016.12.31,77287332864.0,손익계산서
재무제표,영업이익,2016.01.01 ~ 2016.12.31,8465869385.0,손익계산서
재무제표,법인세차감전 순이익,2016.01.01 ~ 2016.12.31,8061205750.0,손익계산서
재무제표,당기순이익,2016.01.01 ~ 2016.12.31,7410655724.0,손익계산서
