개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.06.30 현재,174421819213.0,재무상태표
연결재무제표,비유동자산,2020.06.30 현재,241012976562.0,재무상태표
연결재무제표,자산총계,2020.06.30 현재,415434795775.0,재무상태표
연결재무제표,유동부채,2020.06.30 현재,124881994190.0,재무상태표
연결재무제표,비유동부채,2020.06.30 현재,182661079321.0,재무상태표
연결재무제표,부채총계,2020.06.30 현재,307543073511.0,재무상태표
연결재무제표,자본금,2020.06.30 현재,3733653100.0,재무상태표
연결재무제표,이익잉여금,2020.06.30 현재,32755068150.0,재무상태표
연결재무제표,자본총계,2020.06.30 현재,107891722264.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.06.30,70483104582.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.06.30,-3956189126.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,-4750290382.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.06.30,-3507804193.0,손익계산서
재무제표,유동자산,2020.06.30 현재,98366213032.0,재무상태표
재무제표,비유동자산,2020.06.30 현재,138251938514.0,재무상태표
재무제표,자산총계,2020.06.30 현재,236618151546.0,재무상태표
재무제표,유동부채,2020.06.30 현재,96436879299.0,재무상태표
재무제표,비유동부채,2020.06.30 현재,23382756119.0,재무상태표
재무제표,부채총계,2020.06.30 현재,119819635418.0,재무상태표
재무제표,자본금,2020.06.30 현재,3733653100.0,재무상태표
재무제표,이익잉여금,2020.06.30 현재,43441961801.0,재무상태표
재무제표,자본총계,2020.06.30 현재,116798516128.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.06.30,44920965322.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.06.30,-3392790962.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.06.30,-7108066600.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.06.30,-5421937944.0,손익계산서
