개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2019.03.31 현재,76203034948.0,재무상태표
연결재무제표,비유동자산,2019.03.31 현재,84256135311.0,재무상태표
연결재무제표,자산총계,2019.03.31 현재,160459170259.0,재무상태표
연결재무제표,유동부채,2019.03.31 현재,86705047469.0,재무상태표
연결재무제표,비유동부채,2019.03.31 현재,5327882397.0,재무상태표
연결재무제표,부채총계,2019.03.31 현재,92032929866.0,재무상태표
연결재무제표,자본금,2019.03.31 현재,5825000000.0,재무상태표
연결재무제표,이익잉여금,2019.03.31 현재,54081424147.0,재무상태표
연결재무제표,자본총계,2019.03.31 현재,68426240393.0,재무상태표
연결재무제표,매출액,2019.01.01 ~ 2019.03.31,38865677214.0,손익계산서
연결재무제표,영업이익,2019.01.01 ~ 2019.03.31,-781821280.0,손익계산서
연결재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.03.31,-1239706524.0,손익계산서
연결재무제표,당기순이익,2019.01.01 ~ 2019.03.31,-2108006968.0,손익계산서
재무제표,유동자산,2019.03.31 현재,68599914387.0,재무상태표
재무제표,비유동자산,2019.03.31 현재,56915783544.0,재무상태표
재무제표,자산총계,2019.03.31 현재,125515697931.0,재무상태표
재무제표,유동부채,2019.03.31 현재,57925364093.0,재무상태표
재무제표,비유동부채,2019.03.31 현재,1061132397.0,재무상태표
재무제표,부채총계,2019.03.31 현재,58986496490.0,재무상태표
재무제표,자본금,2019.03.31 현재,5825000000.0,재무상태표
재무제표,이익잉여금,2019.03.31 현재,50929653925.0,재무상태표
재무제표,자본총계,2019.03.31 현재,66529201441.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.03.31,32549873449.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.03.31,764745187.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.03.31,649902232.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.03.31,528923741.0,손익계산서
