개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.03.31 현재,178053260125.0,재무상태표
연결재무제표,비유동자산,2020.03.31 현재,67646643593.0,재무상태표
연결재무제표,자산총계,2020.03.31 현재,245699903718.0,재무상태표
연결재무제표,유동부채,2020.03.31 현재,31655557850.0,재무상태표
연결재무제표,비유동부채,2020.03.31 현재,15110398712.0,재무상태표
연결재무제표,부채총계,2020.03.31 현재,46765956562.0,재무상태표
연결재무제표,자본금,2020.03.31 현재,9895458000.0,재무상태표
연결재무제표,이익잉여금,2020.03.31 현재,62285451009.0,재무상태표
연결재무제표,자본총계,2020.03.31 현재,198933947156.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.03.31,70605918488.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.03.31,-615936689.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,-244749499.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.03.31,-1189035637.0,손익계산서
재무제표,유동자산,2020.03.31 현재,27692950176.0,재무상태표
재무제표,비유동자산,2020.03.31 현재,69687519243.0,재무상태표
재무제표,자산총계,2020.03.31 현재,97380469419.0,재무상태표
재무제표,유동부채,2020.03.31 현재,5063377063.0,재무상태표
재무제표,비유동부채,2020.03.31 현재,1737181055.0,재무상태표
재무제표,부채총계,2020.03.31 현재,6800558118.0,재무상태표
재무제표,자본금,2020.03.31 현재,9895458000.0,재무상태표
재무제표,이익잉여금,2020.03.31 현재,50129506700.0,재무상태표
재무제표,자본총계,2020.03.31 현재,90579911301.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.03.31,11179344204.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.03.31,-203790745.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,196783221.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.03.31,-113748266.0,손익계산서
