개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2017.03.31 현재,137409508290.0,재무상태표
재무제표,비유동자산,2017.03.31 현재,101051450594.0,재무상태표
재무제표,자산총계,2017.03.31 현재,238460958884.0,재무상태표
재무제표,유동부채,2017.03.31 현재,156568166334.0,재무상태표
재무제표,비유동부채,2017.03.31 현재,28359860957.0,재무상태표
재무제표,부채총계,2017.03.31 현재,184928027291.0,재무상태표
재무제표,자본총계,2017.03.31 현재,53532931593.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.03.31,69580378519.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.03.31,1568935687.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.03.31,620501311.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.03.31,483991023.0,손익계산서
