개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.12.31 현재,216137785100.0,재무상태표
연결재무제표,비유동자산,2020.12.31 현재,302912863938.0,재무상태표
연결재무제표,자산총계,2020.12.31 현재,528379078958.0,재무상태표
연결재무제표,유동부채,2020.12.31 현재,234293581662.0,재무상태표
연결재무제표,비유동부채,2020.12.31 현재,90815939495.0,재무상태표
연결재무제표,부채총계,2020.12.31 현재,325109521157.0,재무상태표
연결재무제표,자본금,2020.12.31 현재,12607989000.0,재무상태표
연결재무제표,이익잉여금,2020.12.31 현재,85939398008.0,재무상태표
연결재무제표,자본총계,2020.12.31 현재,203269557801.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.12.31,412530214777.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.12.31,-3793148934.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,-20343404768.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.12.31,-10471826839.0,손익계산서
재무제표,유동자산,2020.12.31 현재,104319186883.0,재무상태표
재무제표,비유동자산,2020.12.31 현재,305854641968.0,재무상태표
재무제표,자산총계,2020.12.31 현재,413829336107.0,재무상태표
재무제표,유동부채,2020.12.31 현재,152832099390.0,재무상태표
재무제표,비유동부채,2020.12.31 현재,62094914266.0,재무상태표
재무제표,부채총계,2020.12.31 현재,214927013656.0,재무상태표
재무제표,자본금,2020.12.31 현재,12607989000.0,재무상태표
재무제표,이익잉여금,2020.12.31 현재,72739276064.0,재무상태표
재무제표,자본총계,2020.12.31 현재,198902322451.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.12.31,192982508592.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.12.31,-9470722518.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,-29578556606.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.12.31,-18773967793.0,손익계산서
