개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2021.09.30 현재,36282182825.0,재무상태표
연결재무제표,비유동자산,2021.09.30 현재,18407857931.0,재무상태표
연결재무제표,자산총계,2021.09.30 현재,54690040756.0,재무상태표
연결재무제표,유동부채,2021.09.30 현재,4224879146.0,재무상태표
연결재무제표,비유동부채,2021.09.30 현재,11531228878.0,재무상태표
연결재무제표,부채총계,2021.09.30 현재,15756108024.0,재무상태표
연결재무제표,자본금,2021.09.30 현재,3942750000.0,재무상태표
연결재무제표,이익잉여금,2021.09.30 현재,13180917080.0,재무상태표
연결재무제표,자본총계,2021.09.30 현재,38933932732.0,재무상태표
연결재무제표,매출액,2021.01.01 ~ 2021.09.30,6958877052.0,손익계산서
연결재무제표,영업이익,2021.01.01 ~ 2021.09.30,-1116098715.0,손익계산서
연결재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.09.30,-1193311479.0,손익계산서
연결재무제표,당기순이익,2021.01.01 ~ 2021.09.30,-1092168828.0,손익계산서
재무제표,유동자산,2021.09.30 현재,35331320183.0,재무상태표
재무제표,비유동자산,2021.09.30 현재,19220953719.0,재무상태표
재무제표,자산총계,2021.09.30 현재,54552273902.0,재무상태표
재무제표,유동부채,2021.09.30 현재,4087112292.0,재무상태표
재무제표,비유동부채,2021.09.30 현재,11531228878.0,재무상태표
재무제표,부채총계,2021.09.30 현재,15618341170.0,재무상태표
재무제표,자본금,2021.09.30 현재,3942750000.0,재무상태표
재무제표,이익잉여금,2021.09.30 현재,13180917080.0,재무상태표
재무제표,자본총계,2021.09.30 현재,38933932732.0,재무상태표
재무제표,매출액,2021.01.01 ~ 2021.09.30,6347574894.0,손익계산서
재무제표,영업이익,2021.01.01 ~ 2021.09.30,-629397927.0,손익계산서
재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.09.30,-1193311479.0,손익계산서
재무제표,당기순이익,2021.01.01 ~ 2021.09.30,-1092168828.0,손익계산서
