개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.03.31 현재,53089648822.0,재무상태표
연결재무제표,비유동자산,2020.03.31 현재,228371995127.0,재무상태표
연결재무제표,자산총계,2020.03.31 현재,281461643949.0,재무상태표
연결재무제표,유동부채,2020.03.31 현재,17709673243.0,재무상태표
연결재무제표,비유동부채,2020.03.31 현재,78090266452.0,재무상태표
연결재무제표,부채총계,2020.03.31 현재,95799939695.0,재무상태표
연결재무제표,자본금,2020.03.31 현재,42000000000.0,재무상태표
연결재무제표,이익잉여금,2020.03.31 현재,68779164512.0,재무상태표
연결재무제표,자본총계,2020.03.31 현재,185661704254.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.03.31,26084619520.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.03.31,-5697025277.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,-5672005548.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.03.31,-1004866931.0,손익계산서
재무제표,유동자산,2020.03.31 현재,43231054194.0,재무상태표
재무제표,비유동자산,2020.03.31 현재,236595938184.0,재무상태표
재무제표,자산총계,2020.03.31 현재,279826992378.0,재무상태표
재무제표,유동부채,2020.03.31 현재,17434794070.0,재무상태표
재무제표,비유동부채,2020.03.31 현재,78303509893.0,재무상태표
재무제표,부채총계,2020.03.31 현재,95738303963.0,재무상태표
재무제표,자본금,2020.03.31 현재,42000000000.0,재무상태표
재무제표,이익잉여금,2020.03.31 현재,69174203235.0,재무상태표
재무제표,자본총계,2020.03.31 현재,184088688415.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.03.31,24547925362.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.03.31,-5958573279.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.03.31,-5703563838.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.03.31,-1036425221.0,손익계산서
