개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.09.30 현재,43454585755.0,재무상태표
연결재무제표,비유동자산,2020.09.30 현재,316729361134.0,재무상태표
연결재무제표,자산총계,2020.09.30 현재,360183946889.0,재무상태표
연결재무제표,유동부채,2020.09.30 현재,52327687450.0,재무상태표
연결재무제표,비유동부채,2020.09.30 현재,35575002024.0,재무상태표
연결재무제표,부채총계,2020.09.30 현재,87902689474.0,재무상태표
연결재무제표,자본금,2020.09.30 현재,17339264500.0,재무상태표
연결재무제표,이익잉여금,2020.09.30 현재,104032266799.0,재무상태표
연결재무제표,자본총계,2020.09.30 현재,272281257415.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.09.30,2869178235.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.09.30,-677737103.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.09.30,9372676469.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.09.30,7887774752.0,손익계산서
재무제표,유동자산,2020.09.30 현재,43052593692.0,재무상태표
재무제표,비유동자산,2020.09.30 현재,317809078377.0,재무상태표
재무제표,자산총계,2020.09.30 현재,360861672069.0,재무상태표
재무제표,유동부채,2020.09.30 현재,52319501494.0,재무상태표
재무제표,비유동부채,2020.09.30 현재,35436839695.0,재무상태표
재무제표,부채총계,2020.09.30 현재,87756341189.0,재무상태표
재무제표,자본금,2020.09.30 현재,17339264500.0,재무상태표
재무제표,이익잉여금,2020.09.30 현재,104896464785.0,재무상태표
재무제표,자본총계,2020.09.30 현재,273105330880.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.09.30,2869178235.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.09.30,-606533313.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.09.30,9443982686.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.09.30,7680955936.0,손익계산서
