개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2018.09.30 현재,60003001386.0,재무상태표
연결재무제표,비유동자산,2018.09.30 현재,20391646704.0,재무상태표
연결재무제표,자산총계,2018.09.30 현재,80394648090.0,재무상태표
연결재무제표,유동부채,2018.09.30 현재,17291930941.0,재무상태표
연결재무제표,비유동부채,2018.09.30 현재,1667103261.0,재무상태표
연결재무제표,부채총계,2018.09.30 현재,18959034202.0,재무상태표
연결재무제표,자본금,2018.09.30 현재,2575000000.0,재무상태표
연결재무제표,이익잉여금,2018.09.30 현재,52607227639.0,재무상태표
연결재무제표,자본총계,2018.09.30 현재,61435613888.0,재무상태표
연결재무제표,매출액,2018.01.01 ~ 2018.09.30,8192660662.0,손익계산서
연결재무제표,영업이익,2018.01.01 ~ 2018.09.30,2429130792.0,손익계산서
연결재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.09.30,3242139555.0,손익계산서
연결재무제표,당기순이익,2018.01.01 ~ 2018.09.30,2677446683.0,손익계산서
재무제표,유동자산,2018.09.30 현재,58918209716.0,재무상태표
재무제표,비유동자산,2018.09.30 현재,20605474161.0,재무상태표
재무제표,자산총계,2018.09.30 현재,79523683877.0,재무상태표
재무제표,유동부채,2018.09.30 현재,16889119002.0,재무상태표
재무제표,비유동부채,2018.09.30 현재,1667103261.0,재무상태표
재무제표,부채총계,2018.09.30 현재,18556222263.0,재무상태표
재무제표,자본금,2018.09.30 현재,2575000000.0,재무상태표
재무제표,이익잉여금,2018.09.30 현재,52274979904.0,재무상태표
재무제표,자본총계,2018.09.30 현재,60967461614.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.09.30,7808456409.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.09.30,2444505823.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.09.30,3214823164.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.09.30,2651181337.0,손익계산서
