개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2018.06.30 현재,191079612844.0,재무상태표
연결재무제표,비유동자산,2018.06.30 현재,647836035044.0,재무상태표
연결재무제표,자산총계,2018.06.30 현재,838915647888.0,재무상태표
연결재무제표,유동부채,2018.06.30 현재,374422409817.0,재무상태표
연결재무제표,비유동부채,2018.06.30 현재,106236452489.0,재무상태표
연결재무제표,부채총계,2018.06.30 현재,480658862306.0,재무상태표
연결재무제표,자본금,2018.06.30 현재,4801960500.0,재무상태표
연결재무제표,이익잉여금,2018.06.30 현재,98397698431.0,재무상태표
연결재무제표,자본총계,2018.06.30 현재,358256785582.0,재무상태표
연결재무제표,매출액,2018.01.01 ~ 2018.06.30,106106280342.0,손익계산서
연결재무제표,영업이익,2018.01.01 ~ 2018.06.30,5625679904.0,손익계산서
연결재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,5844133192.0,손익계산서
연결재무제표,당기순이익,2018.01.01 ~ 2018.06.30,3868585754.0,손익계산서
재무제표,유동자산,2018.06.30 현재,46319742504.0,재무상태표
재무제표,비유동자산,2018.06.30 현재,380358614001.0,재무상태표
재무제표,자산총계,2018.06.30 현재,426678356505.0,재무상태표
재무제표,유동부채,2018.06.30 현재,151005080844.0,재무상태표
재무제표,비유동부채,2018.06.30 현재,14588291450.0,재무상태표
재무제표,부채총계,2018.06.30 현재,165593372294.0,재무상태표
재무제표,자본금,2018.06.30 현재,4801960500.0,재무상태표
재무제표,이익잉여금,2018.06.30 현재,67418121537.0,재무상태표
재무제표,자본총계,2018.06.30 현재,261084984211.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.06.30,14536854113.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.06.30,2534109346.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,1464605114.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.06.30,1151154798.0,손익계산서
