개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2017.06.30 현재,94978751144.0,재무상태표
연결재무제표,비유동자산,2017.06.30 현재,536694773171.0,재무상태표
연결재무제표,자산총계,2017.06.30 현재,631673524315.0,재무상태표
연결재무제표,유동부채,2017.06.30 현재,48810624745.0,재무상태표
연결재무제표,비유동부채,2017.06.30 현재,72630183491.0,재무상태표
연결재무제표,부채총계,2017.06.30 현재,121440808236.0,재무상태표
연결재무제표,이익잉여금,2017.06.30 현재,214228119966.0,재무상태표
연결재무제표,자본총계,2017.06.30 현재,510232716079.0,재무상태표
연결재무제표,매출액,2017.01.01 ~ 2017.06.30,42901381673.0,손익계산서
연결재무제표,영업이익,2017.01.01 ~ 2017.06.30,1810035862.0,손익계산서
연결재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.06.30,9454262749.0,손익계산서
연결재무제표,당기순이익,2017.01.01 ~ 2017.06.30,8023838200.0,손익계산서
재무제표,유동자산,2017.06.30 현재,52985914976.0,재무상태표
재무제표,비유동자산,2017.06.30 현재,270106208342.0,재무상태표
재무제표,자산총계,2017.06.30 현재,323092123318.0,재무상태표
재무제표,유동부채,2017.06.30 현재,2068735800.0,재무상태표
재무제표,비유동부채,2017.06.30 현재,44355214005.0,재무상태표
재무제표,부채총계,2017.06.30 현재,46423949805.0,재무상태표
재무제표,이익잉여금,2017.06.30 현재,31778148204.0,재무상태표
재무제표,자본총계,2017.06.30 현재,276668173513.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.06.30,1805298377.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.06.30,139794757.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.06.30,8189101853.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.06.30,6993171321.0,손익계산서
