개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2019.06.30 현재,452471000000.0,재무상태표
연결재무제표,비유동자산,2019.06.30 현재,504884000000.0,재무상태표
연결재무제표,자산총계,2019.06.30 현재,957355000000.0,재무상태표
연결재무제표,유동부채,2019.06.30 현재,352214000000.0,재무상태표
연결재무제표,비유동부채,2019.06.30 현재,172545000000.0,재무상태표
연결재무제표,부채총계,2019.06.30 현재,524759000000.0,재무상태표
연결재무제표,자본금,2019.06.30 현재,12000000000.0,재무상태표
연결재무제표,이익잉여금,2019.06.30 현재,370216000000.0,재무상태표
연결재무제표,자본총계,2019.06.30 현재,432596000000.0,재무상태표
연결재무제표,매출액,2019.01.01 ~ 2019.06.30,218467000000.0,손익계산서
연결재무제표,영업이익,2019.01.01 ~ 2019.06.30,23274000000.0,손익계산서
연결재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.06.30,20210000000.0,손익계산서
연결재무제표,당기순이익,2019.01.01 ~ 2019.06.30,12826000000.0,손익계산서
재무제표,유동자산,2019.06.30 현재,331278000000.0,재무상태표
재무제표,비유동자산,2019.06.30 현재,540749000000.0,재무상태표
재무제표,자산총계,2019.06.30 현재,872027000000.0,재무상태표
재무제표,유동부채,2019.06.30 현재,313435000000.0,재무상태표
재무제표,비유동부채,2019.06.30 현재,127865000000.0,재무상태표
재무제표,부채총계,2019.06.30 현재,441300000000.0,재무상태표
재무제표,자본금,2019.06.30 현재,12000000000.0,재무상태표
재무제표,이익잉여금,2019.06.30 현재,366991000000.0,재무상태표
재무제표,자본총계,2019.06.30 현재,430727000000.0,재무상태표
재무제표,매출액,2019.01.01 ~ 2019.06.30,174710000000.0,손익계산서
재무제표,영업이익,2019.01.01 ~ 2019.06.30,22830000000.0,손익계산서
재무제표,법인세차감전 순이익,2019.01.01 ~ 2019.06.30,26054000000.0,손익계산서
재무제표,당기순이익,2019.01.01 ~ 2019.06.30,19757000000.0,손익계산서
