개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2017.12.31 현재,157197836103.0,재무상태표
연결재무제표,비유동자산,2017.12.31 현재,113997989714.0,재무상태표
연결재무제표,자산총계,2017.12.31 현재,271195825817.0,재무상태표
연결재무제표,유동부채,2017.12.31 현재,90322899202.0,재무상태표
연결재무제표,비유동부채,2017.12.31 현재,2948538995.0,재무상태표
연결재무제표,부채총계,2017.12.31 현재,93271438197.0,재무상태표
연결재무제표,자본금,2017.12.31 현재,14771779000.0,재무상태표
연결재무제표,이익잉여금,2017.12.31 현재,123531275682.0,재무상태표
연결재무제표,자본총계,2017.12.31 현재,177924387620.0,재무상태표
연결재무제표,매출액,2017.01.01 ~ 2017.12.31,419806572788.0,손익계산서
연결재무제표,영업이익,2017.01.01 ~ 2017.12.31,48768162769.0,손익계산서
연결재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,58969699545.0,손익계산서
연결재무제표,당기순이익,2017.01.01 ~ 2017.12.31,47436929933.0,손익계산서
재무제표,유동자산,2017.12.31 현재,112701105005.0,재무상태표
재무제표,비유동자산,2017.12.31 현재,82221550209.0,재무상태표
재무제표,자산총계,2017.12.31 현재,194922655214.0,재무상태표
재무제표,유동부채,2017.12.31 현재,39858475121.0,재무상태표
재무제표,비유동부채,2017.12.31 현재,558430869.0,재무상태표
재무제표,부채총계,2017.12.31 현재,40416905990.0,재무상태표
재무제표,자본금,2017.12.31 현재,14771779000.0,재무상태표
재무제표,이익잉여금,2017.12.31 현재,109002773927.0,재무상태표
재무제표,자본총계,2017.12.31 현재,154505749224.0,재무상태표
재무제표,매출액,2017.01.01 ~ 2017.12.31,298931425451.0,손익계산서
재무제표,영업이익,2017.01.01 ~ 2017.12.31,43055540534.0,손익계산서
재무제표,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,44062588412.0,손익계산서
재무제표,당기순이익,2017.01.01 ~ 2017.12.31,33447508293.0,손익계산서
